CVEGEO,economic_output
21090,1071.756
21091,30.177
21092,9.663
21093,0.267
21094,145.234
21095,25.561
21096,8.619
21097,6.703
21098,12.612
21099,35.505
21100,12.242
21101,4.513
21102,222.476
21103,51.676
21104,7063.999
21105,5.484
21106,467.705
21107,11.541
21108,53.838
21109,128.611
21110,7588.53
21111,22.392
21112,47.237
21113,6.574
21114,115056.603
21115,559.814
21116,2.912
21117,2796.826
21118,94.613
21119,7026.78
21120,4.415
21121,11.95
21122,25.792
21123,0.0
21124,240.571
21125,2114.204
21126,5.221
21127,3.707
21128,105948.313
21129,132.074
21130,3.941
21131,10.67
21132,18347.924
21133,0.0
21134,183.922
21135,2.374
21136,20143.677
21137,17.528
21138,76.365
21139,11.086
21140,6155.365
21141,16.09
21142,252.368
21143,549.243
21144,1712.247
21145,4.064
21146,6.986
21147,28.933
21148,221.799
21149,1260.617
21150,11.481
21151,61.788
21152,18.358
21153,7420.574
21154,3405.615
21155,18.681
21156,16754.093
21157,49.199
21158,5.002
21159,17.251
21160,16.833
21161,3204.052
21162,11.83
21163,62.286
21164,957.499
21165,5.808
21166,16.759
21167,3.676
21168,27.401
21169,77.588
21170,500.466
21171,89.947
21172,42.489
21173,22.562
21174,5621.752
21175,16.992
21176,26.028
21177,531.588
21178,8.965
21179,101.703
21180,1033.383
21181,11.967
21182,90.239
21183,11.017
21184,8.729
21185,46.17
21186,857.81
21187,4.563
21188,54.351
21189,335.588
21190,0.0
21191,51.155
21192,9.551
21193,7.944
21194,690.201
21195,40.674
21196,2.009
21197,533.652
21198,2.069
21199,290.225
21200,33.413
21201,6.852
21202,30.761
21203,15.604
21204,13.509
21205,2908.876
21206,5.095
21207,144.377
21208,548.579
21209,43.213
21210,19.324
21211,64.597
21212,90.706
21213,17.215
21214,146.948
21215,14.664
21216,4.41
21217,17.1
22001,322.013
22002,15.628
22003,21.884
22004,609.186
22005,33913.899
22006,36777.737
22007,2688.903
22008,3084.492
22009,70.599
22010,10.51
22011,162652.408
22012,6529.37
22013,12.634
22014,300566.136
22015,15.15
22016,116192.902
22017,1328.729
22018,53.429
23001,554.896
23002,162.806
23003,115.236
23004,4202.407
23005,10485.852
23006,43.847
23007,59.893
23008,2390.813
23009,236.806
23010,68.239
23011,2595.878
24001,100.083
24002,3.19
24003,165.565
24004,0.0
24005,87.798
24006,4.147
24007,74.028
24008,5904.698
24009,0.0
24010,47.3
24011,341.174
24012,21.484
24013,5990.249
24014,23.82
24015,794.955
24016,222.634
24017,10.489
24018,1778.667
24019,0.997
24020,6829.628
24021,3650.015
24022,237.325
24023,40.215
24024,1979.367
24025,417.923
24026,5.944
24027,32.388
24028,317820.972
24029,10.136
24032,157.695
24033,1.658
24034,34.899
24035,10370.36
24036,2131.356
24037,119.933
24038,6.89
24039,14.759
24040,15997.194
24041,19.652
24042,45.807
24043,30.936
24044,14.271
24045,988.001
24046,75.532
24047,3.999
24048,26.05
24049,135.793
24050,257081.746
24051,23.131
24052,9.777
24053,51.585
24054,48.348
24055,33.279
24056,69.112
24057,45.422
24058,1898.817
24059,33482.478
25001,16110.002
25002,224.67
25003,26.021
25004,239.843
25005,35.839
25006,43176.314
25007,47.52
25008,130.031
25009,432.599
25010,5890.172
25011,5186.6
25012,30485.784
25013,57.746
25014,692.513
25015,539.169
25016,43.496
25017,116.758
25018,1175.807
25019,616.41
25020,137.578
26001,29.271
26002,7014.531
26003,47.162
26004,27.465
26005,2.62
26006,4.897
26007,0.0
26008,1.331
26009,2.467
26010,1.376
26011,5.224
26012,339.211
26013,7.651
26014,9.882
26015,0.0
26016,41.016
26017,651.218
26018,56351.303
26019,899.251
26020,17.934
26021,0.698
26022,0.642
26023,2897.906
26024,0.521
26025,5085.854
26026,242.269
26027,22.249
26028,4.449
26029,8980.77
26030,225988.066
26031,0.0
26032,4.897
26033,466.688
26034,1.145
26035,88.469
26036,1384.344
26037,11.069
26038,41.481
26039,86.423
26040,2.668
26041,56923.591
26042,21733.093
26043,34380.319
26044,2.566
26045,17.626
26047,87.031
26048,711.441
26049,1.86
26050,24.525
